indicator_id,stat_code,match,hits,auto,order
13-2-2,K131,context,기후변화,TRUE,2
13-2-2,K070,context,에너지,TRUE,3
13-2-3,K133,exact,"적응대책,지자체",TRUE,1
13-2-3,K131,context,기후변화,TRUE,2
13-3-1,K133,near,적응대책,TRUE,1
13-3-1,K131,context,기후변화,TRUE,2
13-3-2,K131,near,기후변화,TRUE,1
13-4-1,K130,exact,"온실가스,배출량,CO2",TRUE,1
13-4-1,K123,context,배출량,TRUE,2
14-1-1,K062,context,수질,TRUE,1
14-1-1,K150,context,해양환경,TRUE,2
14-1-1,K153,context,보전,TRUE,3
14-1-2,K152,exact,"해양쓰레기,수거",TRUE,1
